Original City,Original Country,Date,API City,API Country,API Longitude,API Latitude,Max Temperature,% Humidity,% Cloudiness,Wind Speed,Sunrise Time,Sunset Time
araguaina,br,1544411873,Araguaina,BR,-48.21,-7.19,22.55,97,76,1.76,1544431784,1544476906
manyoni,tz,1544411875,Manyoni,TZ,34.84,-5.75,17.65,92,88,1.51,1544411995,1544456818
kodiak,us,1544410500,Kodiak,US,-94.76,39.95,-2.9,95,1,1.31,1544448597,1544482434
nikolskoye,ru,1544409000,Nikolskoye,RU,30.79,59.7,-2.0,92,20,5.0,1544424289,1544446452
arenys de mar,es,1544409000,Arenys de Mar,ES,2.55,41.58,11.0,93,0,3.31,1544425529,1544458778
khandbari,np,1544411881,Khandbari,NP,87.21,27.38,-2.1,72,36,0.16,1544403010,1544440651
puerto ayora,ec,1544411883,Puerto Ayora,EC,-90.35,-0.74,22.28,100,0,4.91,1544442562,1544486360
mingoyo,tz,1544407200,Mingoyo,TZ,39.64,-10.1,25.0,100,40,1.36,1544410389,1544456120
puerto santander,co,1544411886,Puerto Santander,CO,-73.52,3.35,24.73,62,100,1.01,1544438937,1544481904
meulaboh,id,1544411887,Meulaboh,ID,96.13,4.14,28.25,100,0,1.21,1544398288,1544441095
grindavik,is,1544410800,Grindavik,IS,-22.43,63.84,3.0,93,75,8.2,1544439910,1544456384
ushuaia,ar,1544410800,Ushuaia,AR,-68.31,-54.81,11.0,53,20,2.6,1544428239,1544490132
avarua,ck,1544410800,Avarua,CK,-159.78,-21.21,25.0,100,90,4.6,1544457015,1544505249
saint-philippe,re,1544410800,Saint-Philippe,RE,55.77,-21.36,28.0,61,40,1.0,1544405255,1544453513
ponta do sol,cv,1544407200,Ponta do Sol,CV,-25.09,17.2,23.0,83,0,3.6,1544428764,1544468820
yunhe,cn,1544411894,Yunhe,CN,119.57,28.12,5.18,89,92,0.26,1544395336,1544432787
busselton,au,1544411895,Busselton,AU,115.35,-33.64,23.83,75,0,5.01,1544389282,1544440883
zhuhai,cn,1544410800,Zhuhai,CN,112.04,40.71,-11.0,56,0,2.0,1544399074,1544432661
alice springs,au,1544409000,Alice Springs,AU,133.88,-23.7,35.0,15,0,5.1,1544386218,1544435047
ambala,in,1544409000,Ambala,IN,76.77,30.38,12.0,76,40,1.5,1544405916,1544442757
new norfolk,au,1544410800,New Norfolk,AU,147.06,-42.78,19.0,42,75,5.7,1544380019,1544434927
nanzhou,cn,1544411901,Nanzhou,CN,112.41,29.37,1.93,99,92,4.36,1544397221,1544434339
heishan,cn,1544411902,Heishan,CN,122.12,41.69,-7.95,70,32,2.61,1544396836,1544430059
grand gaube,mu,1544410800,Grand Gaube,MU,57.66,-20.01,24.0,94,75,2.1,1544404962,1544452898
martapura,id,1544411868,Martapura,ID,114.85,-3.41,29.63,87,36,1.66,1544393027,1544437369
ostrovnoy,ru,1544411907,Ostrovnoy,RU,39.51,68.05,-4.53,91,56,5.61,0,0
sorland,no,1544411908,Sorland,NO,12.69,67.67,5.48,100,88,13.66,1544437638,1544441790
chesterton,us,1544410560,Chesterton,US,-87.06,41.61,-1.0,81,1,1.86,1544447054,1544480280
san rafael,ar,1544411695,San Rafael,AR,-68.33,-34.61,17.98,17,0,3.16,1544433216,1544485144
hilo,us,1544410800,Hilo,US,-155.08,19.71,23.3,78,75,3.6,1544460257,1544499742
opuwo,na,1544411913,Opuwo,NA,13.84,-18.06,6.5,66,0,1.16,1544415708,1544463191
jamestown,sh,1544411914,Jamestown,SH,-5.72,-15.94,20.73,100,92,7.36,1544420644,1544467647
bredasdorp,za,1544407200,Bredasdorp,ZA,20.04,-34.53,14.0,93,0,7.16,1544412018,1544463911
castro,cl,1544410800,Castro,CL,-73.76,-42.48,12.0,100,90,5.7,1544433079,1544487893
atbasar,kz,1544411918,Atbasar,KZ,68.36,51.81,-24.48,57,24,2.26,1544412140,1544440565
leshukonskoye,ru,1544411919,Leshukonskoye,RU,45.76,64.9,-5.18,78,80,2.96,1544424565,1544438986
san patricio,mx,1544406000,San Patricio,MX,-104.7,19.22,26.0,69,20,3.1,1544448104,1544487704
nemuro,jp,1544410800,Nemuro,JP,145.57,43.32,-4.0,49,20,7.7,1544391523,1544424112
cascais,pt,1544409000,Cascais,PT,-9.42,38.7,12.0,93,36,3.1,1544427885,1544462170
kenora,ca,1544410500,Kenora,CA,-94.48,49.76,-11.0,85,1,2.1,1544450667,1544480227
assiniboia,ca,1544411925,Assiniboia,CA,-105.99,49.63,-7.23,77,0,5.11,1544453397,1544483024
bethel,us,1544410560,Bethel,US,-161.76,60.79,-6.7,91,1,3.6,1544471166,1544492029
naze,jp,1544410800,Naze,JP,129.48,28.37,17.0,93,75,8.2,1544392989,1544430375
port-gentil,ga,1544411928,Port-Gentil,GA,8.78,-0.72,25.75,100,88,2.06,1544418765,1544462560
lagoa,pt,1544409000,Lagoa,PT,-8.45,37.14,11.0,87,0,1.21,1544427390,1544462200
mahebourg,mu,1544410800,Mahebourg,MU,57.7,-20.41,24.0,94,75,2.1,1544404905,1544452936
port elizabeth,za,1544410800,Port Elizabeth,ZA,25.57,-33.92,12.0,93,0,0.5,1544410788,1544462486
narsaq,gl,1544411933,Narsaq,GL,-46.05,60.91,-8.35,69,44,3.26,1544443439,1544464197
cape town,za,1544410800,Cape Town,ZA,18.42,-33.93,17.0,72,0,3.6,1544412502,1544464204
iraucuba,br,1544411935,Iraucuba,BR,-39.78,-3.75,24.48,90,92,1.56,1544430114,1544474527
dikson,ru,1544411937,Dikson,RU,80.55,73.51,-4.68,98,80,9.36,0,0
upernavik,gl,1544411938,Upernavik,GL,-56.15,72.79,-14.43,100,0,3.41,0,0
saint george,bm,1544410500,Saint George,BM,-64.68,32.38,19.0,88,90,10.3,1544440162,1544476428
diamantino,br,1544411940,Diamantino,BR,-56.44,-14.4,24.33,91,48,2.61,1544432991,1544479653
saint-francois,gp,1544410800,Saint-Francois,GP,-61.27,16.25,24.0,78,0,3.6,1544437346,1544477610
albany,au,1544410800,Albany,AU,117.88,-35.02,21.0,64,75,3.6,1544388455,1544440496
constitucion,mx,1544410140,Constitucion,MX,-104.67,23.99,9.0,66,5,3.1,1544448657,1544487136
ajdabiya,ly,1544411951,Ajdabiya,LY,20.22,30.75,15.93,87,92,4.01,1544419545,1544456280
hobart,au,1544410800,Hobart,AU,147.33,-42.88,19.0,42,75,5.7,1544379933,1544434884
kungurtug,ru,1544411691,Kungurtug,RU,97.53,50.6,-34.08,38,0,1.31,1544404783,1544433916
zhigansk,ru,1544411954,Zhigansk,RU,123.37,66.77,-34.93,53,36,3.91,1544408539,1544417746
umm kaddadah,sd,1544411956,Umm Kaddadah,SD,26.69,13.6,12.28,51,0,5.41,1544415940,1544456782
inuvik,ca,1544411760,Inuvik,CA,-133.71,68.36,-18.0,84,90,1.5,0,0
uyuni,bo,1544411959,Uyuni,BO,-66.82,-20.46,6.68,83,36,1.66,1544434790,1544482839
