Original City,Date,API City,API Country,API Longitude,API Latitude,Max Temperature,% Humidity,% Cloudiness,Wind Speed,Sunrise Time,Sunset Time
ushuaia,1544403600,Ushuaia,AR,-68.31,-54.81,13.0,43,20,7.72,1544428241,1544490127
constitucion,1544402460,Constitucion,MX,-104.67,23.99,14.0,35,5,2.1,1544448654,1544487134
longyearbyen,1544403000,Longyearbyen,SJ,15.64,78.22,-7.0,62,75,6.7,0,0
bluff,1544404945,Bluff,NZ,168.33,-46.6,11.56,100,0,3.37,1544374038,1544430694
owando,1544404946,Owando,CG,15.91,-0.49,21.41,95,36,0.97,1544417075,1544460822
hobart,1544403600,Hobart,AU,147.33,-42.88,20.0,34,75,3.1,1544379933,1544434879
klaksvik,1544403000,Klaksvik,FO,-6.59,62.23,2.0,64,68,5.7,1544434815,1544453869
andijon,1544403600,Andijan,UZ,72.37,40.76,4.0,74,75,2.0,1544408606,1544442173
union,1544404952,Union,PH,124.09,12.9,24.71,100,80,3.47,1544392478,1544433473
castro,1544403600,Castro,CL,-73.76,-42.48,12.0,100,90,6.2,1544433079,1544487888
georgetown,1544404955,Georgetown,SH,-14.42,-7.93,24.63,100,56,8.02,1544423593,1544468869
hambantota,1544404956,Hambantota,LK,81.12,6.12,24.96,100,88,2.37,1544402091,1544444494
saint-philippe,1544403600,Saint-Philippe,RE,55.77,-21.36,25.0,61,75,3.1,1544405253,1544453510
grand gaube,1544403600,Grand Gaube,MU,57.66,-20.01,23.0,94,75,2.6,1544404961,1544452895
qaanaaq,1544404961,Qaanaaq,GL,-69.36,77.48,-19.4,97,68,7.97,0,0
cairns,1544403600,Cairns,AU,145.77,-16.92,27.0,83,75,4.1,1544384166,1544431382
impfondo,1544404964,Impfondo,CG,18.07,1.64,22.51,99,20,1.22,1544416772,1544460087
namibe,1544404965,Namibe,AO,12.15,-15.19,21.01,100,0,1.32,1544416436,1544463270
tuktoyaktuk,1544402460,Tuktoyaktuk,CA,-133.03,69.44,-14.0,84,90,4.6,0,0
namtsy,1544403600,Namtsy,RU,129.66,62.72,-40.0,65,90,1.37,1544402433,1544420829
san cristobal,1544404970,San Cristobal,EC,-79.44,-1.02,18.26,90,48,0.52,1544439912,1544483767
saskylakh,1544405051,Saskylakh,RU,114.09,71.97,-28.8,57,20,3.12,0,0
port alfred,1544404973,Port Alfred,ZA,26.89,-33.59,17.83,100,12,2.32,1544410522,1544462113
vila velha,1544403600,Vila Velha,BR,-38.6,-3.71,28.0,78,75,3.1,1544429833,1544474237
rikitea,1544404979,Rikitea,PF,-134.97,-23.12,26.33,96,76,6.32,1544450824,1544499524
busselton,1544404981,Busselton,AU,115.35,-33.64,19.41,95,0,6.82,1544389282,1544440879
hermanus,1544404982,Hermanus,ZA,19.24,-34.42,8.66,97,0,1.52,1544412227,1544464082
avarua,1544403600,Avarua,CK,-159.78,-21.21,25.0,100,90,8.2,1544457014,1544505246
